activity,category,task,duration (minutes),start time,end time,mood,notes
Blyat,,,0,12/15/2024 1:57 PM,12/15/2024 1:57 PM,0,""
Χαζευω,,,0,12/15/2024 10:24 AM,12/15/2024 10:24 AM,0,""
Reading,,,82,12/14/2024 9:40 PM,12/14/2024 11:02 PM,0,""
Reading,,,245,12/14/2024 12:35 PM,12/14/2024 4:41 PM,0,""
σπιτι,,,21,12/14/2024 9:20 AM,12/14/2024 9:41 AM,0,""
Χαζευω,,,24,12/14/2024 9:12 AM,12/14/2024 9:37 AM,0,""
Χαζευω,,,552,12/14/2024 12:00 AM,12/14/2024 9:12 AM,0,""
Χαζευω,,,5,12/13/2024 11:54 PM,12/14/2024 12:00 AM,0,""
Reading,,,23,12/13/2024 8:43 AM,12/13/2024 9:06 AM,0,""
Other,,,21,12/13/2024 8:22 AM,12/13/2024 8:43 AM,0,""
Exercise ,,,57,12/13/2024 7:24 AM,12/13/2024 8:22 AM,0,""
Reading,,,24,12/11/2024 8:03 AM,12/11/2024 8:27 AM,0,""
Reading,,,38,12/10/2024 7:49 PM,12/10/2024 8:28 PM,0,""
Reading,,,23,12/10/2024 8:23 AM,12/10/2024 8:46 AM,0,""
Χαζευω,,,271,12/9/2024 6:06 PM,12/9/2024 10:37 PM,0,""
Reading,,,0,12/9/2024 6:06 PM,12/9/2024 6:06 PM,0,""
Other,,,574,12/9/2024 8:31 AM,12/9/2024 6:06 PM,0,""
Reading,,,0,12/9/2024 8:31 AM,12/9/2024 8:31 AM,0,""
Χαζευω,,,398,12/8/2024 11:46 AM,12/8/2024 6:24 PM,0,""
Reading,,,27,12/6/2024 8:24 AM,12/6/2024 8:51 AM,0,""
Reading,,,32,12/5/2024 7:50 PM,12/5/2024 8:23 PM,0,""
Reading,,,14,12/4/2024 10:45 PM,12/4/2024 11:00 PM,0,""
σπιτι,,,52,12/4/2024 9:53 PM,12/4/2024 10:45 PM,0,""
<3,,,42,12/4/2024 9:10 PM,12/4/2024 9:52 PM,0,""
Other,,,16,12/4/2024 8:54 PM,12/4/2024 9:10 PM,0,""
Exercise ,,,83,12/4/2024 7:30 PM,12/4/2024 8:54 PM,0,""
Reading,,,45,12/4/2024 8:04 AM,12/4/2024 8:49 AM,0,""
σπιτι,,,97,12/3/2024 9:55 PM,12/3/2024 11:33 PM,0,""
Οικογενεια,,,0,12/3/2024 9:42 PM,12/3/2024 9:42 PM,0,""
<3,,,0,12/3/2024 8:36 PM,12/3/2024 8:36 PM,0,""
Other,,,32,12/3/2024 9:22 AM,12/3/2024 9:55 AM,0,""
Reading,,,0,12/3/2024 9:22 AM,12/3/2024 9:22 AM,0,""
