,Subject,Start Date,Start Time,End Time,Description,End Date,Categories,Start DateTime,End DateTime,Time Spent,Time Spent (Minutes),Month,Day
74,Εργασία,9/1/2024,14:00:00,14:30:00," 
",9/1/2024,Εργασία,2024-01-09 14:00:00,2024-01-09 14:30:00,0 days 00:30:00,30.0,January,9
75,Εργασία,8/1/2024,08:00:00,12:00:00," 
",8/1/2024,Εργασία,2024-01-08 08:00:00,2024-01-08 12:00:00,0 days 04:00:00,240.0,January,8
76,Εργασία,5/1/2024,09:00:00,10:00:00," 
",5/1/2024,Εργασία,2024-01-05 09:00:00,2024-01-05 10:00:00,0 days 01:00:00,60.0,January,5
77,Εργασία,3/1/2024,08:20:00,11:00:00," 
",3/1/2024,Εργασία,2024-01-03 08:20:00,2024-01-03 11:00:00,0 days 02:40:00,160.0,January,3
78,Εργασία,4/1/2024,09:00:00,10:30:00," 
",4/1/2024,Εργασία,2024-01-04 09:00:00,2024-01-04 10:30:00,0 days 01:30:00,90.0,January,4
79,Εργασία,2/1/2024,10:00:00,11:30:00," 
",2/1/2024,Εργασία,2024-01-02 10:00:00,2024-01-02 11:30:00,0 days 01:30:00,90.0,January,2
95,Χαζεύω,2/1/2024,11:30:00,12:15:00," 
",2/1/2024,Χαζεύω,2024-01-02 11:30:00,2024-01-02 12:15:00,0 days 00:45:00,45.0,January,2
96,Εργασία,2/1/2024,12:15:00,14:00:00," 
",2/1/2024,Εργασία,2024-01-02 12:15:00,2024-01-02 14:00:00,0 days 01:45:00,105.0,January,2
97,Ύπνος,2/1/2024,00:30:00,08:45:00," 
",2/1/2024,Ύπνος,2024-01-02 00:30:00,2024-01-02 08:45:00,0 days 08:15:00,495.0,January,2
98,<3,1/1/2024,23:00:00,00:00:00," 
",2/1/2024,Purple category,2024-01-01 23:00:00,2024-01-02 00:00:00,0 days 01:00:00,60.0,January,1
99,Break,2/1/2024,14:00:00,14:15:00," 
",2/1/2024,Break,2024-01-02 14:00:00,2024-01-02 14:15:00,0 days 00:15:00,15.0,January,2
100,Εργασία,2/1/2024,15:00:00,16:00:00," 
",2/1/2024,Εργασία,2024-01-02 15:00:00,2024-01-02 16:00:00,0 days 01:00:00,60.0,January,2
101,Εργασία,2/1/2024,16:30:00,18:00:00," 
",2/1/2024,Εργασία,2024-01-02 16:30:00,2024-01-02 18:00:00,0 days 01:30:00,90.0,January,2
